epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,spike_rate,spike_rate_layer_1,spike_rate_layer_2,spike_rate_layer_3,spike_rate_layer_4,spike_rate_layer_5,spike_rate_layer_6,spike_rate_layer_7,spike_rate_layer_8,avg_spike_rate
31,1.2081794443152492,0.6970571263704558,1.2764030210840862,0.674732695554305,0.674732695554305,0.8604389420371412,"[0.04426554596118046, 0.05719648137969103, 0.03134145468806733, 0.039811993237944016, 0.025687879799904875, 0.020611782691957976, 0.022132033632442514, 0.23338218961757462]",0.04426554596118046,0.05719648137969103,0.03134145468806733,0.039811993237944016,0.025687879799904875,0.020611782691957976,0.022132033632442514,0.23338218961757462,0.05930367012609535
32,1.140818002727205,0.7146566647432199,1.3547961375793034,0.6471581316826112,0.6471581316826112,0.8503095104108047,"[0.04643949370559605, 0.05759218104006139, 0.031324109158403286, 0.039949021072123635, 0.02548075419937917, 0.01991339057782902, 0.021947577800059407, 0.2351091262770983]",0.04643949370559605,0.05759218104006139,0.031324109158403286,0.039949021072123635,0.02548075419937917,0.01991339057782902,0.021947577800059407,0.2351091262770983,0.05971945672881879
33,1.054530067839837,0.7391806116560877,1.2220616726467861,0.6876758581879572,0.6876758581879572,0.8728193584693303,"[0.044969936390567525, 0.057751282204994696, 0.031906417891656234, 0.04015898178017801, 0.025343106194405145, 0.019278861319796666, 0.021641376937082756, 0.2363287885341302]",0.044969936390567525,0.057751282204994696,0.031906417891656234,0.04015898178017801,0.025343106194405145,0.019278861319796666,0.021641376937082756,0.2363287885341302,0.0596723439066014
34,1.0521388425821527,0.7378822850548182,1.2728000525218088,0.6809229037703995,0.6809229037703995,0.8536859876195836,"[0.04748324470368471, 0.059068706880900435, 0.03175073408014147, 0.04005075899376973, 0.025360315501604516, 0.018752182127899333, 0.021358680678432215, 0.23730846135036565]",0.04748324470368471,0.059068706880900435,0.03175073408014147,0.04005075899376973,0.025360315501604516,0.018752182127899333,0.021358680678432215,0.23730846135036565,0.06014163553959976
35,1.0092543294135536,0.7495672244662435,1.256906392581076,0.6983680360157569,0.6983680360157569,0.8581879572312887,"[0.046847364900927904, 0.057613746649258835, 0.03225706333902019, 0.04025137886419886, 0.02528610822009568, 0.018346627225979517, 0.021231833022591837, 0.23870269674060007]",0.046847364900927904,0.057613746649258835,0.03225706333902019,0.04025137886419886,0.02528610822009568,0.018346627225979517,0.021231833022591837,0.23870269674060007,0.060067102370334115
36,0.9589262342095513,0.7637045585689556,1.2606071159410637,0.6904895891952729,0.6904895891952729,0.8587507034327518,"[0.04590209901490209, 0.05643039766564482, 0.032283830617197175, 0.04024391278544711, 0.02539595908568001, 0.017933089776372597, 0.02113072939876706, 0.23992328296208199]",0.04590209901490209,0.05643039766564482,0.032283830617197175,0.04024391278544711,0.02539595908568001,0.017933089776372597,0.02113072939876706,0.23992328296208199,0.0599054126632616
37,0.9222601428713904,0.7736583958453549,1.2940903718597903,0.6679797411367473,0.6679797411367473,0.863252673044457,"[0.046114286018673636, 0.05667170677460456, 0.031986632557690145, 0.04045938429880736, 0.025089101472390414, 0.01741633752779743, 0.020672614376354367, 0.24109985628888358]",0.046114286018673636,0.05667170677460456,0.031986632557690145,0.04045938429880736,0.025089101472390414,0.01741633752779743,0.020672614376354367,0.24109985628888358,0.059938739914400185
38,0.8782488703727722,0.7797172533179457,1.200993157715449,0.694991558806978,0.694991558806978,0.8801350590883511,"[0.04747119577614711, 0.057497803902462015, 0.03261351949804296, 0.040345892751419095, 0.025026374201711093, 0.017140322561211722, 0.020674104256230102, 0.24170967760433057]",0.04747119577614711,0.057497803902462015,0.03261351949804296,0.040345892751419095,0.025026374201711093,0.017140322561211722,0.020674104256230102,0.24170967760433057,0.060309861318944336
39,0.8462872530624803,0.7863531448355453,1.1577323859707858,0.7034327518289252,0.7034327518289252,0.8722566122678672,"[0.049553751627604156, 0.05969005113342832, 0.032753124466017344, 0.040310377794398, 0.02543284299901861, 0.016804849227911145, 0.020566332865309688, 0.24324367789186196]",0.049553751627604156,0.05969005113342832,0.032753124466017344,0.040310377794398,0.02543284299901861,0.016804849227911145,0.020566332865309688,0.24324367789186196,0.06104437600069365
40,0.8048965087742679,0.8036641661858049,1.1417052561251213,0.7090602138435566,0.7090602138435566,0.8823860438942037,"[0.04861176664782708, 0.05939656850855639, 0.03248333435958124, 0.03999441162119801, 0.025271851025392304, 0.016345880596487145, 0.020332466779604028, 0.24477279058835547]",0.04861176664782708,0.05939656850855639,0.03248333435958124,0.03999441162119801,0.025271851025392304,0.016345880596487145,0.020332466779604028,0.24477279058835547,0.06090113376587521
