epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,avg_firing_rate
31,2.117402476010438,0.49855741488747835,1.6900593692211292,0.5813168261114238,0.5813168261114238,0.7957231288688801,0.04268885879291722,0.040023293136954546,0.030034895411987665,0.038284619993745744,0.03027643180869301,0.024729313572576964,0.028687248751299806,0.19444744075841683,0.053646512778323975
32,2.0855918585085402,0.5060588574725908,1.7051637396550499,0.5762521102982555,0.5762521102982555,0.7940348902644907,0.04458728795465284,0.039904546856060284,0.029845941602488615,0.03797914856131715,0.030265586959424447,0.02423421680479374,0.028564378545675173,0.19643662426465125,0.05397721644363294
33,2.025919594154226,0.5203404500865552,1.657755695032833,0.5875070343275183,0.5875070343275183,0.8007878446820484,0.04520100310206379,0.03965046566416426,0.029903328593402896,0.037728360728312295,0.02983132503328599,0.02370691183774924,0.02834653199654416,0.19788869498264433,0.05403207774227087
34,1.9973088564757244,0.5341892671667628,1.6253932087678011,0.5981992121553179,0.5981992121553179,0.7996623522791221,0.04616214387007098,0.040320811742495556,0.02997281133441601,0.03808551567456027,0.030073892495319745,0.023345308306832912,0.028220389687041256,0.1995973557823588,0.05447227861163694
35,1.9340513838753706,0.5414021927293711,1.6320024180171735,0.5993247045582443,0.5993247045582443,0.810917276308385,0.0495146671321076,0.03911358719494579,0.030201832407374028,0.03754118082588427,0.029702653639894293,0.02290380309843134,0.02813627205909659,0.2010994909013903,0.05477668590739052
36,1.9115295080165138,0.5532313906520485,1.5853040256107334,0.6060776589758019,0.6060776589758019,0.8120427687113112,0.05002408254479119,0.04107881940689883,0.0311588305337624,0.03834735907613655,0.029803585449679527,0.022695185954074697,0.028028065138572145,0.20265516646651438,0.05547388682130372
37,1.8758006574373345,0.566935949221004,1.5530682127638782,0.6167698368036015,0.6167698368036015,0.8137310073157006,0.05152338444590286,0.03950293835428881,0.031102097921906394,0.03815908023323025,0.029696133836813805,0.02231400142516481,0.02805014539725759,0.20419806268513446,0.055568230537462376
38,1.8221065846831466,0.5744373918061165,1.5140266533222702,0.6280247608328644,0.6280247608328644,0.8227349465391108,0.05251566553887856,0.04032330698504381,0.03134299126487807,0.03829293666932322,0.0290610220664692,0.021856237155972593,0.027815802993713085,0.20526419802616322,0.055809020087555214
39,1.7793318474581497,0.5966532025389498,1.5527013116787634,0.6111423747889702,0.6111423747889702,0.814856499718627,0.054609652514541036,0.04146992198763697,0.03139946462398276,0.03792362825696045,0.02900563655006759,0.021686137203635075,0.027590373928788308,0.20684931552904698,0.05631676632433239
40,1.7889032220895453,0.5892960184650894,1.5033422605272366,0.6314012380416432,0.6314012380416432,0.8204839617332583,0.05633242016562976,0.04140794455015634,0.03168326697764484,0.03803548260518124,0.028943576525418544,0.021408768588171364,0.027466515419113262,0.2077167988546801,0.05662434671074944
41,1.7377032705656796,0.594200807847663,1.4852182208790106,0.6285875070343275,0.6285875070343275,0.827236916150816,0.05873080291154873,0.040883519682851026,0.0320243219296331,0.03787634503139149,0.028975286732757927,0.021138298688250377,0.0274572750919664,0.2090255776023643,0.05701392845884541
42,1.7153384391274282,0.6074725908828621,1.427549092391414,0.6437816544738323,0.6437816544738323,0.8379290939786156,0.0598464549819664,0.04070721904085364,0.03228463098627929,0.03760861492992144,0.028840894362772387,0.020728724779900554,0.027329638294711862,0.21058793868343903,0.05724176450748057
43,1.6526253105172375,0.6190132717830352,1.424791552343577,0.6471581316826112,0.6471581316826112,0.8345526167698368,0.06204890815460766,0.04055962766348886,0.033102462511080136,0.0379813304645115,0.028750375840544854,0.020488703339965962,0.027263391374820905,0.21145649171893016,0.05770641138349376
44,1.6474946185929278,0.6177149451817657,1.3966699409979342,0.6477208778840743,0.6477208778840743,0.8379290939786156,0.06386177674343674,0.04021100376808199,0.033287879832709914,0.0378275871584847,0.028741534734646402,0.020139751841648547,0.0273156936675907,0.21280360662884285,0.05802360429693023
